customerID,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,churn_flag
6583-SZVGP,48,108.1,5067.45,"Two year","Bank transfer (automatic)",0
4895-TMWIR,11,19.95,214.75,Month-to-month,"Mailed check",1
0533-BNWKF,55,85.45,4874.70,Month-to-month,"Electronic check",1
1708-PBBOA,42,54.75,2348.45,"One year","Electronic check",0
8782-LKFPK,44,90.4,4063.00,Month-to-month,"Mailed check",0
5522-JBWMO,1,44,44.00,Month-to-month,"Electronic check",0
3597-MVHJT,27,95.6,2595.25,Month-to-month,"Bank transfer (automatic)",0
9774-NRNAU,27,84.8,2309.55,Month-to-month,"Bank transfer (automatic)",0
0224-RLWWD,2,44.3,89.30,Month-to-month,"Electronic check",0
9967-ATRFS,19,19.9,367.55,Month-to-month,"Mailed check",0
3951-NJCVI,42,95.05,3944.50,Month-to-month,"Electronic check",0
2977-CEBSX,66,90.05,5965.95,"Two year","Credit card (automatic)",0
0177-PXBAT,33,109.9,3694.70,Month-to-month,"Bank transfer (automatic)",0
6599-CEBNN,34,73.95,2524.45,Month-to-month,"Credit card (automatic)",1
2519-ERQOJ,33,54.6,1803.70,Month-to-month,"Electronic check",0
5876-QMYLD,23,20.05,415.10,"One year","Mailed check",0
